项目ID,请求专业类型,学校,学院,项目名称,标准项目名称,方向,项目类型,年份,录取分析标题,总成绩计算方式,分数段,拟录人数,进入复试人数,分段录取率,来源网站,更新时间
65,MBA,南京信息工程大学,商学院,MBA,MBA,nan,非全日制,2025,MBA(非全),考生综合成绩=初试成绩÷3*0.6+复试成绩（换算为百分制）*0.4,200-209,3,7,0.0,MBA大师,2026-03-08 11:23:33
58,MBA,南京农业大学,经济管理学院,(F1)投融资与财务管理,(F1)投融资与财务管理,nan,非全日制,2025,MBA(非全),综合成绩=初试成绩+复试成绩,151-159,35,0,0.0,MBA大师,2025-06-23 09:57:38
58,MBA,南京农业大学,经济管理学院,(F1)投融资与财务管理,(F1)投融资与财务管理,nan,非全日制,2025,MBA(非全),综合成绩=初试成绩+复试成绩,160-169,54,0,0.0,MBA大师,2025-06-23 09:57:40
58,MBA,南京农业大学,经济管理学院,(F1)投融资与财务管理,(F1)投融资与财务管理,nan,非全日制,2025,MBA(非全),综合成绩=初试成绩+复试成绩,170-179,31,0,0.0,MBA大师,2025-06-23 09:57:41
58,MBA,南京农业大学,经济管理学院,(F1)投融资与财务管理,(F1)投融资与财务管理,nan,非全日制,2025,MBA(非全),综合成绩=初试成绩+复试成绩,180-189,31,0,0.0,MBA大师,2025-06-23 09:57:42
58,MBA,南京农业大学,经济管理学院,(F1)投融资与财务管理,(F1)投融资与财务管理,nan,非全日制,2025,MBA(非全),综合成绩=初试成绩+复试成绩,190-199,23,17,0.0,MBA大师,2026-03-08 11:23:33
58,MBA,南京农业大学,经济管理学院,(F1)投融资与财务管理,(F1)投融资与财务管理,nan,非全日制,2025,MBA(非全),综合成绩=初试成绩+复试成绩,200-209,10,11,0.0,MBA大师,2026-03-08 11:23:33
58,MBA,南京农业大学,经济管理学院,(F1)投融资与财务管理,(F1)投融资与财务管理,nan,非全日制,2025,MBA(非全),综合成绩=初试成绩+复试成绩,210-219,6,7,0.0,MBA大师,2026-03-08 11:23:33
58,MBA,南京农业大学,经济管理学院,(F1)投融资与财务管理,(F1)投融资与财务管理,nan,非全日制,2025,MBA(非全),综合成绩=初试成绩+复试成绩,220-229,4,4,0.0,MBA大师,2026-03-08 11:23:33
56,MBA,南京师范大学,商学院,(F1)战略管理,(F1)战略管理,nan,非全日制,2025,MBA(非全),综合成绩=初试总成绩×（100÷初试满分）×50%+复试专业课笔试成绩（满分150分）÷1.5×20%+专业面试成绩（满分100分）×25%+外语听力及口语成绩（满分100分）×5%。,151-159,12,21,0.0,MBA大师,2026-03-08 11:23:33
56,MBA,南京师范大学,商学院,(F1)战略管理,(F1)战略管理,nan,非全日制,2025,MBA(非全),综合成绩=初试总成绩×（100÷初试满分）×50%+复试专业课笔试成绩（满分150分）÷1.5×20%+专业面试成绩（满分100分）×25%+外语听力及口语成绩（满分100分）×5%。,160-169,39,42,0.0,MBA大师,2026-03-08 11:23:33
56,MBA,南京师范大学,商学院,(F1)战略管理,(F1)战略管理,nan,非全日制,2025,MBA(非全),综合成绩=初试总成绩×（100÷初试满分）×50%+复试专业课笔试成绩（满分150分）÷1.5×20%+专业面试成绩（满分100分）×25%+外语听力及口语成绩（满分100分）×5%。,170-179,40,41,0.0,MBA大师,2026-03-08 11:23:33
56,MBA,南京师范大学,商学院,(F1)战略管理,(F1)战略管理,nan,非全日制,2025,MBA(非全),综合成绩=初试总成绩×（100÷初试满分）×50%+复试专业课笔试成绩（满分150分）÷1.5×20%+专业面试成绩（满分100分）×25%+外语听力及口语成绩（满分100分）×5%。,180-189,38,35,0.0,MBA大师,2026-03-08 11:23:33
56,MBA,南京师范大学,商学院,(F1)战略管理,(F1)战略管理,nan,非全日制,2025,MBA(非全),综合成绩=初试总成绩×（100÷初试满分）×50%+复试专业课笔试成绩（满分150分）÷1.5×20%+专业面试成绩（满分100分）×25%+外语听力及口语成绩（满分100分）×5%。,190-199,29,30,0.0,MBA大师,2026-03-08 11:23:33
56,MBA,南京师范大学,商学院,(F1)战略管理,(F1)战略管理,nan,非全日制,2025,MBA(非全),综合成绩=初试总成绩×（100÷初试满分）×50%+复试专业课笔试成绩（满分150分）÷1.5×20%+专业面试成绩（满分100分）×25%+外语听力及口语成绩（满分100分）×5%。,200-209,14,19,0.0,MBA大师,2026-03-08 11:23:33
